interval_label,original_category,chunk_category,weighted_row_share
6-10,Trade & Industry,Parliamentary Affairs,0.04536632702571567
6-10,Trade & Industry,Social Policy,0.041805295626256324
6-10,Trade & Industry,Trade & Industry,0.6436889166146808
10+,Agriculture & Natural Resources,Agriculture & Natural Resources,0.7198494448494449
10+,Agriculture & Natural Resources,Economic & Fiscal Policy,0.06882906882906883
10+,Agriculture & Natural Resources,Foreign Affairs & Defence,0.016727041727041727
10+,Agriculture & Natural Resources,Government Operations & Ethics,0.02785937785937786
10+,Agriculture & Natural Resources,Indigenous & Northern Affairs,0.00820980820980821
10+,Agriculture & Natural Resources,Intergovernmental & Constitutional Affairs,0.037863712863712866
10+,Agriculture & Natural Resources,"Justice, Rights & Immigration",0.006456831456831457
10+,Agriculture & Natural Resources,Parliamentary Affairs,0.027583452583452586
10+,Agriculture & Natural Resources,Social Policy,0.02662202662202662
10+,Agriculture & Natural Resources,Trade & Industry,0.059999234999235006
10+,Economic & Fiscal Policy,Agriculture & Natural Resources,0.0722275393604065
10+,Economic & Fiscal Policy,Economic & Fiscal Policy,0.6413709833290253
10+,Economic & Fiscal Policy,Foreign Affairs & Defence,0.012608079566121524
10+,Economic & Fiscal Policy,Government Operations & Ethics,0.0391340594137797
10+,Economic & Fiscal Policy,Indigenous & Northern Affairs,0.0045863227681409505
10+,Economic & Fiscal Policy,Intergovernmental & Constitutional Affairs,0.02618162723057828
10+,Economic & Fiscal Policy,"Justice, Rights & Immigration",0.004235740949027662
10+,Economic & Fiscal Policy,Parliamentary Affairs,0.025503750328925157
10+,Economic & Fiscal Policy,Social Policy,0.06918396289025659
10+,Economic & Fiscal Policy,Trade & Industry,0.10496793416373836
10+,Foreign Affairs & Defence,Agriculture & Natural Resources,0.0
10+,Foreign Affairs & Defence,Economic & Fiscal Policy,0.048275667993977846
10+,Foreign Affairs & Defence,Foreign Affairs & Defence,0.7966427938258922
10+,Foreign Affairs & Defence,Government Operations & Ethics,0.03984184829255251
10+,Foreign Affairs & Defence,Indigenous & Northern Affairs,0.0
10+,Foreign Affairs & Defence,Intergovernmental & Constitutional Affairs,0.011502347417840373
10+,Foreign Affairs & Defence,"Justice, Rights & Immigration",0.018142186452045603
10+,Foreign Affairs & Defence,Parliamentary Affairs,0.03147040752674555
10+,Foreign Affairs & Defence,Social Policy,0.017667543723881747
10+,Foreign Affairs & Defence,Trade & Industry,0.03645720476706392
10+,Government Operations & Ethics,Agriculture & Natural Resources,0.02950837041746133
10+,Government Operations & Ethics,Economic & Fiscal Policy,0.06905367359912815
10+,Government Operations & Ethics,Foreign Affairs & Defence,0.020620288802106986
10+,Government Operations & Ethics,Government Operations & Ethics,0.5426562074289347
10+,Government Operations & Ethics,Indigenous & Northern Affairs,0.0071740128558310376
10+,Government Operations & Ethics,Intergovernmental & Constitutional Affairs,0.031079904943541306
10+,Government Operations & Ethics,"Justice, Rights & Immigration",0.01391499914227187
10+,Government Operations & Ethics,Parliamentary Affairs,0.1008549531276804
10+,Government Operations & Ethics,Social Policy,0.057787540742086196
10+,Government Operations & Ethics,Trade & Industry,0.12735004894095805
10+,Indigenous & Northern Affairs,Agriculture & Natural Resources,0.04973359973359973
10+,Indigenous & Northern Affairs,Economic & Fiscal Policy,0.007652347652347653
10+,Indigenous & Northern Affairs,Foreign Affairs & Defence,0.005054945054945055
10+,Indigenous & Northern Affairs,Government Operations & Ethics,0.03379905808477237
10+,Indigenous & Northern Affairs,Indigenous & Northern Affairs,0.8359863945578231
10+,Indigenous & Northern Affairs,Intergovernmental & Constitutional Affairs,0.037162837162837165
10+,Indigenous & Northern Affairs,"Justice, Rights & Immigration",0.010917653774796632
10+,Indigenous & Northern Affairs,Parliamentary Affairs,0.007835497835497834
10+,Indigenous & Northern Affairs,Social Policy,0.009659863945578231
10+,Indigenous & Northern Affairs,Trade & Industry,0.002197802197802198
10+,Intergovernmental & Constitutional Affairs,Agriculture & Natural Resources,0.07777416036344607
10+,Intergovernmental & Constitutional Affairs,Economic & Fiscal Policy,0.07960268897768898
10+,Intergovernmental & Constitutional Affairs,Foreign Affairs & Defence,0.009199877503448932
10+,Intergovernmental & Constitutional Affairs,Government Operations & Ethics,0.05806678440607012
10+,Intergovernmental & Constitutional Affairs,Indigenous & Northern Affairs,0.03595065648637077
