basepk,chunk_total,original_category,original_cluster,category_entropy_raw,category_entropy_adjusted,cluster_entropy_raw,cluster_entropy_adjusted,category_retention,cluster_retention,category_distinct_count,cluster_distinct_count,category_dominant_share,cluster_dominant_share
3400167,2,Agriculture & Natural Resources,5,0.0,0.0,0.6931471805599453,1.0,0.0,0.5,1,2,1.0,0.5
3400185,2,Foreign Affairs & Defence,4,0.6931471805599453,1.0,0.0,0.0,0.0,1.0,2,1,0.5,1.0
3400233,2,Economic & Fiscal Policy,10,0.0,0.0,0.6931471805599453,1.0,1.0,0.5,1,2,1.0,0.5
3400276,2,Trade & Industry,4,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
3400317,2,Social Policy,16,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
3400421,2,Social Policy,6,0.0,0.0,0.6931471805599453,1.0,1.0,0.5,1,2,1.0,0.5
3400442,2,Foreign Affairs & Defence,4,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
3400612,2,Parliamentary Affairs,15,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
3400915,2,Foreign Affairs & Defence,4,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
3401039,2,Social Policy,5,0.0,0.0,0.6931471805599453,1.0,1.0,0.5,1,2,1.0,0.5
3401131,2,Agriculture & Natural Resources,4,0.0,0.0,0.6931471805599453,1.0,0.0,0.5,1,2,1.0,0.5
3401147,2,Economic & Fiscal Policy,0,0.0,0.0,0.6931471805599453,1.0,1.0,0.5,1,2,1.0,0.5
3401290,2,Trade & Industry,16,0.0,0.0,0.6931471805599453,1.0,0.0,0.5,1,2,1.0,0.5
3401363,2,Economic & Fiscal Policy,16,0.6931471805599453,1.0,0.0,0.0,0.5,1.0,2,1,0.5,1.0
3401404,2,Social Policy,4,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
3401474,2,Social Policy,7,0.0,0.0,0.6931471805599453,1.0,1.0,0.5,1,2,1.0,0.5
3401665,2,Agriculture & Natural Resources,16,0.0,0.0,0.6931471805599453,1.0,1.0,0.5,1,2,1.0,0.5
3401669,2,Trade & Industry,5,0.0,0.0,0.6931471805599453,1.0,0.0,0.5,1,2,1.0,0.5
3401684,2,Trade & Industry,16,0.0,0.0,0.6931471805599453,1.0,1.0,0.5,1,2,1.0,0.5
3401720,2,Economic & Fiscal Policy,5,0.0,0.0,0.6931471805599453,1.0,1.0,0.5,1,2,1.0,0.5
3401728,2,Economic & Fiscal Policy,4,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
3401812,2,Foreign Affairs & Defence,4,0.0,0.0,0.6931471805599453,1.0,1.0,0.5,1,2,1.0,0.5
3401830,2,Agriculture & Natural Resources,17,0.0,0.0,0.6931471805599453,1.0,1.0,0.5,1,2,1.0,0.5
3401913,2,Parliamentary Affairs,10,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
3402018,2,Economic & Fiscal Policy,0,0.6931471805599453,1.0,0.6931471805599453,1.0,0.5,0.5,2,2,0.5,0.5
3402283,2,Social Policy,6,0.0,0.0,0.6931471805599453,1.0,1.0,0.5,1,2,1.0,0.5
3402357,2,Agriculture & Natural Resources,17,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1.0,1.0
3402481,2,Agriculture & Natural Resources,18,0.0,0.0,0.6931471805599453,1.0,1.0,0.5,1,2,1.0,0.5
3402620,2,Parliamentary Affairs,12,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
3402728,2,Economic & Fiscal Policy,4,0.6931471805599453,1.0,0.0,0.0,0.5,1.0,2,1,0.5,1.0
3402781,2,Social Policy,16,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1.0,1.0
3402862,2,Government Operations & Ethics,3,0.0,0.0,0.6931471805599453,1.0,1.0,0.5,1,2,1.0,0.5
3402928,2,Parliamentary Affairs,10,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
3402930,2,Parliamentary Affairs,10,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
3403074,2,Social Policy,5,0.0,0.0,0.6931471805599453,1.0,0.0,0.0,1,2,1.0,0.5
3403135,2,Social Policy,16,0.6931471805599453,1.0,0.6931471805599453,1.0,0.5,0.5,2,2,0.5,0.5
3403145,2,Economic & Fiscal Policy,7,0.6931471805599453,1.0,0.6931471805599453,1.0,0.5,0.5,2,2,0.5,0.5
3403247,2,Parliamentary Affairs,15,0.0,0.0,0.6931471805599453,1.0,1.0,0.5,1,2,1.0,0.5
3403258,2,Parliamentary Affairs,12,0.0,0.0,0.6931471805599453,1.0,1.0,0.0,1,2,1.0,0.5
3403300,2,Parliamentary Affairs,15,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
3403383,2,Parliamentary Affairs,15,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
3403403,2,Parliamentary Affairs,9,0.6931471805599453,1.0,0.6931471805599453,1.0,0.5,0.5,2,2,0.5,0.5
3403481,2,Economic & Fiscal Policy,0,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
3403602,2,Economic & Fiscal Policy,4,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
3403708,2,Economic & Fiscal Policy,12,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1.0,1.0
3403800,2,Parliamentary Affairs,12,0.0,0.0,0.6931471805599453,1.0,1.0,0.5,1,2,1.0,0.5
3403822,2,Economic & Fiscal Policy,12,0.0,0.0,0.6931471805599453,1.0,0.0,0.5,1,2,1.0,0.5
3403874,2,Parliamentary Affairs,15,0.0,0.0,0.6931471805599453,1.0,1.0,0.5,1,2,1.0,0.5
3403940,2,Economic & Fiscal Policy,7,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
3403956,2,Government Operations & Ethics,11,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
3404000,2,Trade & Industry,18,0.0,0.0,0.6931471805599453,1.0,1.0,0.5,1,2,1.0,0.5
3404066,2,Social Policy,16,0.6931471805599453,1.0,0.0,0.0,0.5,0.0,2,1,0.5,1.0
3404385,2,Agriculture & Natural Resources,4,0.0,0.0,0.6931471805599453,1.0,0.0,0.5,1,2,1.0,0.5
3404407,2,Agriculture & Natural Resources,19,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1.0,1.0
3404435,2,Parliamentary Affairs,12,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
3404585,2,Economic & Fiscal Policy,7,0.6931471805599453,1.0,0.6931471805599453,1.0,0.5,0.5,2,2,0.5,0.5
3404622,2,Economic & Fiscal Policy,0,0.0,0.0,0.6931471805599453,1.0,1.0,0.5,1,2,1.0,0.5
3404652,2,Government Operations & Ethics,9,0.6931471805599453,1.0,0.0,0.0,0.5,1.0,2,1,0.5,1.0
3404724,2,Government Operations & Ethics,4,0.6931471805599453,1.0,0.0,0.0,0.5,1.0,2,1,0.5,1.0
3404797,2,Parliamentary Affairs,10,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
3404815,2,Parliamentary Affairs,15,0.6931471805599453,1.0,0.0,0.0,0.5,1.0,2,1,0.5,1.0
3404877,2,Economic & Fiscal Policy,10,0.0,0.0,0.6931471805599453,1.0,1.0,0.5,1,2,1.0,0.5
3404973,2,Foreign Affairs & Defence,4,0.0,0.0,0.6931471805599453,1.0,1.0,0.5,1,2,1.0,0.5
3405096,2,Agriculture & Natural Resources,5,0.0,0.0,0.6931471805599453,1.0,1.0,0.5,1,2,1.0,0.5
3405392,2,Agriculture & Natural Resources,5,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
3405395,2,Agriculture & Natural Resources,4,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1.0,1.0
3405736,2,Agriculture & Natural Resources,3,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0
3405842,2,Parliamentary Affairs,10,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
3405848,2,Indigenous & Northern Affairs,3,0.0,0.0,0.6931471805599453,1.0,1.0,0.5,1,2,1.0,0.5
3405857,2,Trade & Industry,4,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
