basepk,rows_found,chunk_total_min,chunk_total_max,total_chunk_weight,chunk_total_consistent,all_chunks_present
2241407,3,3,3,1.0,True,True
2241625,2,2,2,1.0,True,True
2241663,2,2,2,1.0,True,True
2241671,2,2,2,1.0,True,True
2241689,6,6,6,1.0,True,True
2241732,3,3,3,1.0,True,True
2241751,2,2,2,1.0,True,True
2241754,2,2,2,1.0,True,True
2241761,2,2,2,1.0,True,True
2241821,9,9,9,1.0,True,True
2241864,7,7,7,1.0,True,True
2242072,4,4,4,1.0,True,True
2242074,2,2,2,1.0,True,True
2242126,2,2,2,1.0,True,True
2242351,4,4,4,1.0,True,True
2242373,10,10,10,1.0,True,True
2242382,8,8,8,1.0,True,True
2242384,5,5,5,1.0,True,True
2242596,2,2,2,1.0,True,True
2242629,6,6,6,1.0,True,True
2242848,2,2,2,1.0,True,True
2242854,3,3,3,1.0,True,True
2243043,2,2,2,1.0,True,True
2243278,6,6,6,1.0,True,True
2243290,3,3,3,1.0,True,True
2243373,5,5,5,1.0,True,True
2243578,2,2,2,1.0,True,True
2243581,3,3,3,1.0,True,True
2243582,2,2,2,1.0,True,True
2243586,2,2,2,1.0,True,True
2243600,5,5,5,1.0,True,True
2243615,4,4,4,1.0,True,True
2243717,3,3,3,1.0,True,True
2243884,2,2,2,1.0,True,True
2243887,3,3,3,1.0,True,True
2243923,2,2,2,1.0,True,True
2243924,3,3,3,1.0,True,True
2243942,3,3,3,1.0,True,True
2243969,2,2,2,1.0,True,True
2243974,5,5,5,1.0,True,True
2244035,4,4,4,1.0,True,True
2244077,2,2,2,1.0,True,True
2244082,2,2,2,1.0,True,True
2244115,2,2,2,1.0,True,True
2244288,8,8,8,1.0,True,True
2244289,3,3,3,1.0,True,True
2244291,5,5,5,1.0,True,True
2244292,4,4,4,1.0,True,True
2244356,3,3,3,1.0,True,True
2244637,3,3,3,1.0,True,True
2244664,2,2,2,1.0,True,True
2244767,2,2,2,1.0,True,True
2244783,12,12,12,1.0,True,True
2244879,2,2,2,1.0,True,True
2244902,2,2,2,1.0,True,True
2244918,3,3,3,1.0,True,True
2245154,2,2,2,1.0,True,True
2245180,3,3,3,1.0,True,True
2245227,2,2,2,1.0,True,True
2245237,11,11,11,1.0,True,True
2245262,2,2,2,1.0,True,True
2245273,7,7,7,1.0,True,True
2245301,2,2,2,1.0,True,True
2245306,6,6,6,1.0,True,True
2245718,2,2,2,1.0,True,True
2245725,3,3,3,1.0,True,True
2245781,2,2,2,1.0,True,True
2245842,2,2,2,1.0,True,True
2246104,3,3,3,1.0,True,True
2246121,3,3,3,1.0,True,True
2246145,5,5,5,1.0,True,True
2246154,3,3,3,1.0,True,True
2246220,3,3,3,1.0,True,True
