interval_label,original_cluster,chunk_cluster,weighted_row_share
2-6,10,11,0.004645822292881116
2-6,10,12,0.030295000883236178
2-6,10,13,0.0038950715421303653
2-6,10,14,0.0042218689277512805
2-6,10,15,0.0193075428369546
2-6,10,16,0.0403462285815227
2-6,10,17,0.0022610846140257903
2-6,10,18,0.006235647412118
2-6,10,19,0.001519166225048578
2-6,11,0,0.003451327433628318
2-6,11,1,0.0037758112094395274
2-6,11,2,0.006637168141592919
2-6,11,3,0.010176991150442476
2-6,11,4,0.23026548672566366
2-6,11,5,0.014483775811209437
2-6,11,6,0.001150442477876106
2-6,11,7,0.0009439528023598818
2-6,11,8,0.0
2-6,11,9,0.004129793510324483
2-6,11,10,0.02949852507374631
2-6,11,11,0.6413864306784659
2-6,11,12,0.003008849557522123
2-6,11,13,0.0026548672566371677
2-6,11,14,0.0030973451327433624
2-6,11,15,0.008082595870206488
2-6,11,16,0.03168141592920353
2-6,11,17,0.0005899705014749261
2-6,11,18,0.004100294985250736
2-6,11,19,0.0008849557522123892
2-6,12,0,0.0024787535410764868
2-6,12,1,0.022898961284230405
2-6,12,2,0.0007082152974504249
2-6,12,3,0.0027148253068932948
2-6,12,4,0.14511331444759204
2-6,12,5,0.0009915014164305948
2-6,12,6,0.00035410764872521243
2-6,12,7,0.0018885741265344661
2-6,12,8,0.0028800755429650607
2-6,12,9,0.004886685552407932
2-6,12,10,0.13644948064211518
2-6,12,11,0.0029508970727101028
2-6,12,12,0.6437913125590178
2-6,12,13,0.0
2-6,12,14,0.0022426817752596783
2-6,12,15,0.021883852691218127
2-6,12,16,0.004249291784702549
2-6,12,17,0.0010623229461756373
2-6,12,18,0.0016997167138810194
2-6,12,19,0.0007554296506137864
2-6,13,0,0.006479113384484229
2-6,13,1,0.0008525149190110828
2-6,13,2,0.0017050298380221656
2-6,13,3,0.012404092071611254
2-6,13,4,0.13094629156010232
2-6,13,5,0.014109121909633421
2-6,13,6,0.0012787723785166241
2-6,13,7,0.0034953111679454398
2-6,13,8,0.0
2-6,13,9,0.010869565217391306
2-6,13,10,0.038064791133844846
2-6,13,11,0.0031969309462915605
2-6,13,12,0.0012787723785166241
2-6,13,13,0.6197357203751066
2-6,13,14,0.0026427962489343564
2-6,13,15,0.006393861892583121
2-6,13,16,0.06491901108269396
2-6,13,17,0.01317135549872123
2-6,13,18,0.06845694799658995
2-6,13,19,0.0
2-6,14,0,0.0011627906976744188
2-6,14,1,0.0
2-6,14,2,0.0
2-6,14,3,0.011627906976744188
2-6,14,4,0.21573643410852716
2-6,14,5,0.0023255813953488376
2-6,14,6,0.0
2-6,14,7,0.0023255813953488376
2-6,14,8,0.0
2-6,14,9,0.02922480620155039
2-6,14,10,0.035736434108527136
2-6,14,11,0.0023255813953488376
2-6,14,12,0.013178294573643414
2-6,14,13,0.004806201550387597
2-6,14,14,0.564031007751938
2-6,14,15,0.01666666666666667
2-6,14,16,0.05441860465116279
2-6,14,17,0.0
2-6,14,18,0.046434108527131784
2-6,14,19,0.0
2-6,15,0,0.0034555712270803946
2-6,15,1,0.028185237423601312
2-6,15,2,0.002632816173013634
2-6,15,3,0.011518570756934647
2-6,15,4,0.1728255759285378
2-6,15,5,0.0049365303244005634
2-6,15,6,0.0048660084626234125
2-6,15,7,0.0009402914903620121
2-6,15,8,0.005124588622472966
2-6,15,9,0.004489891866478608
2-6,15,10,0.09090267983074753
2-6,15,11,0.005618241654913023
2-6,15,12,0.03787023977433004
2-6,15,13,0.003291020216267042
2-6,15,14,0.004113775270333803
2-6,15,15,0.5882698636577338
2-6,15,16,0.02028678890456041
2-6,15,17,0.0006346967559943582
2-6,15,18,0.005289139633286318
2-6,15,19,0.004748472026328161
2-6,16,0,0.008297362110311752
2-6,16,1,0.007611510791366907
2-6,16,2,0.002091127098321343
2-6,16,3,0.030652278177458036
2-6,16,4,0.3721199040767386
2-6,16,5,0.022235011990407675
2-6,16,6,0.0021103117505995206
2-6,16,7,0.00879136690647482
2-6,16,8,0.0016115107913669065
2-6,16,9,0.009280575539568346
2-6,16,10,0.04920383693045564
2-6,16,11,0.007280575539568347
2-6,16,12,0.0024604316546762597
2-6,16,13,0.009400479616306955
2-6,16,14,0.0041438848920863315
2-6,16,15,0.006964028776978418
2-6,16,16,0.42548201438848926
2-6,16,17,0.003932853717026379
2-6,16,18,0.022997601918465234
2-6,16,19,0.003333333333333334
2-6,17,0,0.008909657320872275
2-6,17,1,0.00925233644859813
2-6,17,2,0.0
2-6,17,3,0.024766355140186914
2-6,17,4,0.17766355140186915
2-6,17,5,0.03769470404984424
2-6,17,6,0.001869158878504673
2-6,17,7,0.0
2-6,17,8,0.0
2-6,17,9,0.003925233644859813
2-6,17,10,0.02467289719626168
2-6,17,11,0.00046728971962616824
2-6,17,12,0.0014018691588785046
2-6,17,13,0.01336448598130841
2-6,17,14,0.0009345794392523365
2-6,17,15,0.006791277258566978
2-6,17,16,0.04691588785046729
2-6,17,17,0.6271028037383177
2-6,17,18,0.010778816199376947
2-6,17,19,0.003489096573208723
