basepk;speechtext;speakername;year
1567146;pacif terminu cabl constitu number constitu employe cabl wireless limit reach committe stage trust minist abl give assur work condit worsen reason govern take compani motion agre hous went committe mr dion chair;John Lambert Gibson;1949
1567147;mr chairman might deal difficulti seem aris mind member statement made outset believ found answer question arisen appear misapprehens mind member done may statement prepar clear shall attempt elabor first place resolut preced bill establish canadian oversea telecommun corpor made pursuant intern convent could go histori telecommun servic date would lengthi appear statement difficulti connect telecommun servic aros commonwealth countri owe competit beam wireless circuit cabl circuit handl messag beam cheaper cabl believ put say time cost cent per word send messag cabl wherea cost eighteen cent send beam compani go busi unit kingdom decid best thing form merger compani led dissatisfact among certain commonwealth countri conven number intern confer australia commonwealth commun council set met lord reith unit kingdom govern came commonwealth countri survey posit ascertain view variou commonwealth countri year commonwealth oversea telecommun act telecommun confer call london agreement made countri commonwealth countri australia new zealand india southern rhodesia unit kingdom becam signatori agreement provid thing commonwealth countri possibl nation telecommun servic within territori establish known commonwealth telecommun board would act advisori board variou commonwealth countri co ordin telecommun servic intern commonwealth telecommun confer agre sign agreement legisl seem matter surpris think mention speech throne session speech throne previou session think great deal said favour anyon taken surpris taken surpris matter brought hous first occas realiz matter great technic calgari west say understand great deal assur easi matter understand understand thing like understand mani part technic comprehens go shall attempt clarifi thing committe come apprehens seem mind member lemon take may say first place resolut propos take asset cabl wireless limit take telecommun asset canadian marconi compani asset propos take wireless receiv station yamachich quebec wireless transmit station drum mondvil quebec marconi build citi montreal noth broadcast station canadian marconi compani noth industri manufactur end canadian marconi compani anyth overdraft mention lemon bought contrari asset valu inform telecommun end canadian marconi shown year profit;Lionel Chevrier;1949
1567148;net gross;Gordon Knapman Fraser;1949
1567149;net profit sens liabil would tempt say someth friend critic level cabl wireless limit want follow exampl eglinton suffic say share cabl wireless limit own unit kingdom govern think major share canadian marconi compani limit own british govern per cent seventi per cent find exact situat bill hous;Lionel Chevrier;1949
1567150;minist say take liabil compani;Wilbert Ross Thatcher;1949
1567151;none would say take liabil think calgari west ask number pertin question ask take busi answer commit commonwealth telecommun agreement sign variou countri take agre convent announc hous act prime minist believ announc made time take take decid intern confer order co ordin telecommun commonwealth would countri nation asset servic ask whether bill would creat monopoli repli bill creat monopoli result achiev hope profit shown mean monetari profit mean profit point view benefit commonwealth countri defenc angl intent sign agreement london hope profit financi sens advic technic offic depart hope substanti oper profit made corpor;Lionel Chevrier;1949
1567152;number question aris connect matter like take point men tion minist transport said would creat monopoli understand cabl wireless limit hold compani control per cent world cabl commun case think would come close creat monopoli within commonwealth possibl imagin like minist observ make part transact;George Alexander Drew;1949
1567153;posit say whether cabl wireless limit control eighti per cent world telecommun servic;Lionel Chevrier;1949
1567154;want interrupt minist would point say telecommun servic said cabl commun resolut includ cabl wireless;George Alexander Drew;1949
1567155;ye want challeng statement would surpris case event whether case anglo american cabl compani commerci cabl compani direct competit cabl wireless limit canadian marconi compani limit danger monopoli understand intern field exclus commonwealth field telecommun servic wireless cabl strong competit servic;Lionel Chevrier;1949
1567156;effect arrang exist canadian pacif telegraph canadian marconi;George Alexander Drew;1949
1567157;think affect canadian pacif telegraph instanc arrang exist today messag goe canadian nation canadian pacif continu know amount suppos rate word twenti cent would imagin cent would paid canadian pacif canadian nation went cabl head eighteen cent cabl cent unit kingdom go land telegraph system friend mind would think arrang chang;Lionel Chevrier;1949
1567158;nation cabl compani would minist consid canadian nation exclus carri agent;John Lambert Gibson;1949
1567159;could cabl wireless canadian oversea telecommun act marconi must use canadian pacif line know arrang suppos go canadian pacif telegraph offic send messag messag go canadian pacif certain distanc cabl wireless remaind distanc;Lionel Chevrier;1949
1567160;great length time pacif rate problem pacif coast cut high rate coast china countri side pacif believ would good invest minist could assur abl reduc commerci rate pacif basi equal atlant refer reduct rate press messag today hear great deal iron curtain newspap friend unabl penetr beyond iron curtain high rate exist press messag pacif contribut secur iron curtain prosper pacif must close touch busi hous side peac world peopl touch p olit militari event asia touch low rate cabl wireless pacif;George Matheson Murray;1949
1567161;grate minist way explain resolut must confess dark feel member entitl detail inform resolut speak properti equip canadian marconi compani limit cabl wireless limit think member impress properti whole thing go concern taken know certain properti equip taken minist given detail expect given detail properti equip taken locat canadian marconi compani limit larg compani suppos ramif world intend take portion wonder whether minist would good give detail say properti locat canadian marconi compani limit busi differ type mere commun servic resolut speak extern commun servic oversea telecommun act like know natur equip taken time minist might good explain valu equip know expert might told done forth;William Joseph Browne;1949
1567162;attempt advis gentleman sure understand want offens say discuss notic intend shall done later date discuss resolut think practic give detail inform gentleman would entitl bill committe object give would want think attempt withhold inform shall answer question moment agre proper place bill consider detail set purpos resolut provid opportun discuss gener manner minist answer question gener natur proper time entitl get inform seek moment ago say intend take certain asset canadian marconi compani interest know asset cabl wireless concern intent take build equip harbour grace provinc newfoundland detail would prefer give proper time arriv cariboo inquir rate pleas abl tell commonwealth telecommun board establish agreement provid among number thing rate fall within jurisdict provid formul joint telecommun polici includ rate;Lionel Chevrier;1949
1567163;resolut provid new corpor take properti equip exist compani use connect extern commun servic oper purpos minist kind enough tell whether way involv radio servic coastal deep sea ship interest pacif coast;Edward Turney Applewhaite;1949
1567164;mr brown st john west;Lionel Chevrier;1949
1567165;present servic carri newfoundland compani continu present;Gordon Francis Higgins;1949
1567166;inform canadian marconi asset newfoundland cabl wireless certain asset taken servic concern;Lionel Chevrier;1949
1567167;understand marconi carri servic newfoundland present time;Gordon Francis Higgins;1949
1567168;say mean impli intend say awar asset take may oper industri sort posit say bill provid take marconi asset newfoundland;Lionel Chevrier;1949
1567169;busi busi taken bill;Gordon Francis Higgins;1949
1567170;friend speak busi mean manufactur radio;Lionel Chevrier;1949
1567171;refer busi commun;Gordon Francis Higgins;1949
1567172;would think;Lionel Chevrier;1949
